NAME,PHONE,FAX,EMAIL,WEBSITE,RESTAURANT NAME,RESTAURANT ADDRESS,RESTAURANT CITY,RESTAURANT STATE,RESTAURANT ZIPCODE,RESTAURANT COUNTRY,RESTAURANT CATEGORY
"Kay & Gray, Inc.",          ,,,,Cosmic Crust Cafe & Bakery,14131 Midway Rd Ste 111,Addison,TX,75001,US,New Category
"Itl Foods, L.P.",          ,,,,Pizza Hut,14152 Marsh Ln,Addison,TX,75001,US,New Category
"Burger Casa, Lp",          ,,,,Burger Casa Lp,14248 Marsh Ln,Addison,TX,75001,US,New Category
Garrison Addison Opco Lp,          ,,,,Crowne Plaza Addison,14315 Midway Rd,Addison,TX,75001,US,New Category
"Aimbridge Concessions, Inc.",(972) 980-8877,,,,Crowne Plaza Hotel,14315 Midway Rd,Addison,TX,75001,US,New Category
"Culinary Art Catering, Inc.",          ,,,,Culinary Art Catering,14370 Marsh Ln,Addison,TX,75001,US,New Category
"Zesty Foods, Llc",          ,,,,Golden Chick,14430 Marsh Ln,Addison,TX,75001,US,New Category
Bacara Club Llc,(972) 720-0100,,,,Bacara Amusement,14775 Midway Rd,Addison,TX,75001,US,New Category
"D. Bohrnstedt, Inc.",          ,,,,Inwood Soccer Center,14801 Inwood Rd,Addison,TX,75001,US,New Category
"Bellini'S No. 1, Ltd.",(214) 980-9898,,,,Ferraris Villa,14831 Midway Rd # 102,Addison,TX,75244,US,New Category
Maavdi Llc,(407) 832-8836,,,,Tailgaters Sport Bar & Grill,14831 Midway Rd Ste 101,Addison,TX,75001,US,New Category
"Thaistar, Llc",          ,,,,Thai Star,14833 Midway Rd Ste 100,Addison,TX,75001,US,New Category
"Siam'S Star, Inc",          ,,,,Best Thai,14833 Midway Rd Ste 100,Addison,TX,75001,US,New Category
"Stone Trail, Inc.",(972) 701-9600,,,,Stone Trial Inc,14833 Midway Rd Ste 105,Addison,TX,75001,US,New Category
Tony Taherzadeh,(214) 701-9600,,,,Stone Trail,14833 Midway Rd Ste 105,Addison,TX,75244,US,New Category
"Hibiscus Caribbean Restaurant, L.L.C.",          ,,,,Mommies Burgers And Fries,14833 Midway Rd Ste 110,Addison,TX,75001,US,New Category
"Aljic Restaurant Group, Llc",          ,,,,Taste Of Chicago,14833 Midway Rd Ste 110,Addison,TX,75001,US,New Category
"Two Milagres, Inc.",          ,,,,Affairs To Remember,14835 Inwood Rd,Addison,TX,75001,US,New Category
"Xcess Catering Company, L.L.C.",          ,,,,"Xcess Catering Company, L L C",14835 Inwood Rd,Addison,TX,75001,US,New Category
"Binhadr, Inc.",          ,,,,Queen Of Sheba,14875 Inwood Rd,Addison,TX,75001,US,New Category
"Liaison Party Service, Inc.",          ,,,,Gold Room,14875 Inwood Rd,Addison,TX,75001,US,New Category
"Hospitality International, Inc.",(214) 661-2800,,,,Hospitality International Inc,14901 Dallas Parkway,Addison,TX,75240,US,New Category
"Sharp Mexican Partners, L.P.",          ,,,,Manny'S Uptown,14905 Midway Rd,Addison,TX,75001,US,New Category
"Snuffer'S Restaurants, Incorporated",          ,,,,Snuffer'S Restaurant,14910 Midway Rd,Addison,TX,75244,US,New Category
"Addison Blue Goose, Inc.",(214) 458-2757,,,,Addison Blue Goose,14920 Midway Rd,Addison,TX,75244,US,New Category
"Bslic, Inc.",(972) 726-8771,,,,Addison Blue Goose,14920 Midway Rd,Addison,TX,75001,US,New Category
"J & S Brothers, Inc",(214) 918-2869,,,,Jaxx Steakhouse,14925 Midway Rd Ste 101,Addison,TX,75001,US,New Category
Ljj Bright Source Limited Liability Company,(972) 801-9087,,,,Loving Hut,14925 Midway Rd Ste 102,Addison,TX,75001,US,New Category
"Pucci, Inc.",          ,,,,J'S Breakfast & Burgers,14925 Midway Rd Ste 105,Addison,TX,75001,US,New Category
Effam Hall Llc,          ,,,,The Londoner,14930 Midway Rd,Addison,TX,75001,US,New Category
Penrhyn Llc,          ,,,,The Londoner,14930 Midway Rd,Addison,TX,75001,US,New Category
Spring Creek Barbeque Addison Ltd,          ,,,,Spring Creek Barbeque,14941 Midway Rd,Addison,TX,75001,US,New Category
"Spring Creek Barbeque #1, Ltd.",(972) 385-0970,,,,Spring Creek Barbeque-Addison,14941 Midway Rd,Addison,TX,75001,US,New Category
"Nate'S Seafood & Steak House, Inc.",(972) 701-9622,,,,Nate'S Seafood & Steak House,14951 Midway Rd,Addison,TX,75001,US,New Category
"Taco Bueno Restaurants, L.P.",          ,,,,Taco Bueno #3157,15000 Marsh Ln,Addison,TX,75001,US,New Category
Boston Market Corporation,          ,,,,Boston Market,15050 Marsh Ln,Addison,TX,75001,US,New Category
Starbucks Corporation,          ,,,,Starbucks Coffee #9443,15099 Midway Rd,Addison,TX,75001,US,New Category
Texas De Brazil (Addison) Corporation,(972) 385-1000,,,,Texas De Brazil,15101 Addison Rd,Addison,TX,75001,US,New Category
Alrayyan Corp.,(817) 891-1909,,,,Sanabels,15107 Addison Rd,Addison,TX,75001,US,New Category
"Cabana Beverages, Inc.",(210) 342-5077,,,,Cabana Beverages Inc,15120 Marsh Ln,Addison,TX,75001,US,New Category
"Bigelow Arizona Tx-344, Limited Partnership",(972) 280-0606,,,,Budget Suites Of America Tx-344,15130 Marsh Ln,Addison,TX,75001,US,New Category
"Hospitality International, Inc.",          ,,,,Courtyard Addison Quorum,15160 Quorum Dr,Addison,TX,75001,US,New Category
"Hospitality International, Inc.",          ,,,,Hospitality International Inc,15160 Quorum Dr,Addison,TX,75001,US,New Category
Ia Orchard Hotels Addison Trs Limited Partnership,(972) 404-1555,,,,Courtyard By Marriott Addison Quorum 1Nb,15160 Quorum Dr,Addison,TX,75001,US,New Category
Restaurant & Bar Arthurs Ltd.,          ,,,,Arthurs,15175 Quorum Dr,Addison,TX,75001,US,New Category
"Outback Beverages Of Texas, Llc",(512) 472-8355,,,,Outback Steakhouse,15180 Addison Rd,Addison,TX,75001,US,New Category
"Outback Steakhouse Of Florida, Llc",          ,,,,Outback Steakhouse #4458,15180 Addison Rd,Addison,TX,75001,US,New Category
Dhruv Hotels Lp,(972) 733-4700,,,,Best Western Addison Galleria Hotel,15200 Addison Rd,Addison,TX,75001,US,New Category
"Delvestment Properties, Inc.",(972) 788-1919,,,,The Quarter Bar & Grill,15201 Addison Rd,Addison,TX,75001,US,New Category
"Parkway Beverage Company, Inc.",          ,,,,Hotel Inter-Continental Dallas,15201 Dallas Pkwy,Addison,TX,75001,US,New Category
"Bia'S Group Of Companies, Inc.",(972) 381-1272,,,,"Bia'S Group Of Companies, Inc.",15201 Dallas Pkwy,Addison,TX,75001,US,New Category
Sunshine Holdings I Corp.,          ,,,,Hotel Intercontinental,15201 Dallas Pkwy,Addison,TX,75001,US,New Category
"Buttons Management, Llc",          ,,,,Button'S,15207 Addison Rd,Addison,TX,75001,US,New Category
Sambuca Addison Lp,(972) 385-8455,,,,Sambuca Addison Lp,15207 Addison Rd,Addison,TX,75001,US,New Category
"Hospitality International, Inc.",          ,,,,Hospitality International Inc,15255 Quorum Dr,Addison,TX,75001,US,New Category
"Springhill Smc, Llc",          ,,,,Springhill Suites Addison,15255 Quorum Dr,Addison,TX,75001,US,New Category
"Chamberlain'S Fish Market Grill, L.P.",          ,,,,Chamberlain Fish Market Grill,15280 Addison Rd Ste 300,Addison,TX,75001,US,New Category
"Colonnade Executive Lounge, Llc",          ,,,,Colonnade Executive Lounge,15305 Dallas Pkwy Ste 125,Addison,TX,75001,US,New Category
Nai Bar And Grill Llc,(214) 363-2900,,,,Nai Sports Grill,15375 Addison Rd,Addison,TX,75001,US,New Category
"Baba International, Llc",(716) 807-4380,,,,Murphy'S Deli - Millennium,15455 Dallas Pkwy Ste 150,Addison,TX,75001,US,New Category
"Swishupmarket, Llc",          ,,,,Polk-A-Dot Bakery,15615 Quorum Dr,Addison,TX,75001,US,New Category
"Watertower Theatre, Inc.",          ,,,,Watertower Theatre Inc,15650 Addison Rd,Addison,TX,75248,US,New Category
Tn Management Llc,          ,,,,Astoria,15701 Quorum Dr,Addison,TX,75001,US,New Category
"Sodexomagic, Llc",          ,,,,Concentra Addison,15800 Midway Rd,Addison,TX,75001,US,New Category
"84 Wildcats, Llc",          ,,,,Parrot Icce,15800 Spectrum Dr Apt 1225,Addison,TX,75001,US,New Category
"Sodexomagic, Llc",(866) 372-8291,,,,Concentra Austin #4516,15812 Midway Rd,Addison,TX,75001,US,New Category
"Sodexomagic, Llc",          ,,,,Concentra Addison #4536,15814 Midway Rd,Addison,TX,75001,US,New Category
"Sangnam Enterprises, Inc.",          ,,,,Soon'S Sundries,15851 Dallas Pkwy Ste 155,Addison,TX,75001,US,New Category
"Reliant Rehabilitation Hospital Central Texas, Lp",(972) 308-8519,,,,"Reliant Rehabilitation Hospital Central Texas, Lp",15851 Dallas Pkwy Ste 500,Addison,TX,75001,US,New Category
"Reliant Rehabilitation Hospital North Texas, Lp",(972) 308-8519,,,,"Reliant Rehabilitation Hospital North Texas, Lp",15851 Dallas Pkwy Ste 500,Addison,TX,75001,US,New Category
Sodexo Services Of Texas Limited Partnership,          ,,,,Bank Of America - Dallas Cafe,16001 Dallas Pkwy,Addison,TX,75001,US,New Category
Sodexo Services Of Texas Limited Partnership,          ,,,,Mbna Dallas,16001 Dallas Pkwy,Addison,TX,75001,US,New Category
"Compass One, Llc",          ,,,,"Compass One, Llc #22522 Bac Dallas",16001 Dallas Pkwy,Addison,TX,75001,US,New Category
The Hangar L.L.C.,(972) 248-9300,,,,The Hangar L.L.C.,16101 Addison Rd,Addison,TX,75001,US,New Category
"Asmarco, Inc.",          ,,,,Subway Sandwiches And Salads,16246 Midway Rd,Addison,TX,75001,US,New Category
"Mk Hospitality, Inc.",(214) 687-6300,,,,Mk Hospitality Inc,16251 Dallas Pkwy,Addison,TX,75001,US,New Category
Chi Cheong Wong,          ,,,,Tower Deli,16415 Addison Rd Ste 110,Addison,TX,75001,US,New Category
Me Kyoung Han,          ,,,,Bent Tree One Deli,16475 Dallas Pkwy Ste 160,Addison,TX,75001,US,New Category
Su Chuw Lye,          ,,,,Bent Tree Cafe,16479 Dallas Pkwy,Addison,TX,75001,US,New Category
Just Fried Rice Limited Liability Company,          ,,,,Just Fried Rice,16601 Addison Rd,Addison,TX,75001,US,New Category
Kwangsoo Jeon,(972) 248-7154,,,,Donut Palace,16601 Addison Rd Ste 105,Addison,TX,75248,US,New Category
Michael Shahim,(214) 733-1887,,,,Dj'S Taco Express -Addison,16601 Addison Rd Ste 2,Addison,TX,75248,US,New Category
"Sage Dining Services, Inc.",          ,,,,Trinity Christian Academy,17001 Addison Rd,Addison,TX,75001,US,New Category
"A & J Foods, Inc.",(972) 869-4404,,,,Wendy'S Old Fashioned Hamburgers,3710 Belt Line Rd,Addison,TX,75244,US,New Category
"World'S Best Barbecue, Inc.",(972) 241-1800,,,,Dickeys Bbq Pit #87,3711 Belt Line Rd,Addison,TX,75001,US,New Category
Aland R Geddie,          ,,,,Dunn Bros Coffee,3725 Belt Line Rd,Addison,TX,75001,US,New Category
"Sweetfrog Addison, Llc",(469) 879-2173,,,,Sweetfrog,3750 Belt Line Rd # 118C,Addison,TX,75001,US,New Category
Einstein And Noah Corp.,          ,,,,Einstein Bros Bagels #3560,3750 Belt Line Rd Ste 118-A,Addison,TX,75001,US,New Category
Gs Dallas Limited Partnership,          ,,,,Subway Store # 10219,3751 Belt Line Rd,Addison,TX,75001,US,New Category
"Chipotle Texas, L.L.C.",(972) 243-9099,,,,Chipotle Mexican Grill,3771 Belt Line Rd,Addison,TX,75001,US,New Category
"Chipotle Mexican Grill Of Colorado, Llc",(972) 243-9088,,,,Chipotle Mexican Grill #197,3771 Belt Line Rd,Addison,TX,75001,US,New Category
"C & W Johnson Management Co., L.L.C.",          ,,,,Mcdonald'S #22207,3795 Belt Line Rd,Addison,TX,75001,US,New Category
"Humperdink'S Beltline Road, Ltd.",(972) 484-3051,,,,Humperdink'S Addison,3820 Belt Line Rd,Addison,TX,75001,US,New Category
"New & Old Co., Inc.",          ,,,,New New Buffet,3822 Belt Line Rd,Addison,TX,75001,US,New Category
"Lone Star Chicken, L.P.",          ,,,,Chicekn Express,3825 Belt Line Rd,Addison,TX,75001,US,New Category
"Landry'S Crab Shack, Inc.",(713) 850-1010,,,,Joe'S Crab Shack,3855 Belt Line Rd,Addison,TX,75244,US,New Category
Jmr Ventures Inc.,          ,,,,Los Lupes Restaurant #2,3855 Belt Line Rd,Addison,TX,75001,US,New Category
"Break Management Group, Llc",          ,,,,The Break,3870 Ponte Ave Ste 150,Addison,TX,75001,US,New Category
"Vitruvian Park Ice House, Inc.",          ,,,,The Addison Ice House,3875 Ponte Ave,Addison,TX,75001,US,New Category
"El-Amir Entertainment, Inc.",          ,,,,Al-Amir Restaurant,3885 Belt Line Rd,Addison,TX,75001,US,New Category
"Ahdaf, Llc",(972) 241-9299,,,,Ihop#1426,3910 Belt Line Rd,Addison,TX,75001,US,New Category
Shiraz Porbandarwalla,          ,,,,Salad'S Delite,3939 Belt Line Rd #200/201,Addison,TX,75001,US,New Category
Je Foods Corp,(972) 242-2100,,,,Gourmet Cafe & Grill,3939 Belt Line Rd Ste 200,Addison,TX,75001,US,New Category
Jmr Ventures Inc.,(214) 630-2313,,,,Jmr Ventures Inc.,3939 Belt Line Rd Ste 620,Addison,TX,75001,US,New Category
Cuzco Latin Private Club,          ,,,,Chicho'S Club,3957 Belt Line Rd,Addison,TX,75001,US,New Category
"Chicho'S Peruvian Restaurant, Llc",          ,,,,Chicho'S Peruvian Restaurant,3957 Belt Line Rd,Addison,TX,75001,US,New Category
Joseph J Catalano,          ,,,,Joe'S Italian Cafe,4002 Belt Line Rd Ste 100,Addison,TX,75001,US,New Category
"Jasmine Chen, Inc.",          ,,,,Restaurant Jasmine,4002 Belt Line Rd Ste 200,Addison,TX,75001,US,New Category
"Kissle, L.L.C.",(214) 826-4910,,,,Lefty'S,4021 Belt Line Rd Ste 101,Addison,TX,75244,US,New Category
"4050 Beltline, Llc",(212) 986-2220,,,,Mcfadden'S,4050 Belt Line Rd,Addison,TX,75001,US,New Category
"Dsb&G, Inc.",(817) 291-7860,,,,The Back Nine,4060 Belt Line Rd,Addison,TX,75001,US,New Category
Utopian Ventures Llc,          ,,,,Azure Restaurant & Bar,4080 Belt Line Rd,Addison,TX,75001,US,New Category
"Addison Beverages Hilton Garden Inn, Llc",(817) 684-8117,,,,Hilton Garden Inn,4090 Belt Line Rd,Addison,TX,75001,US,New Category
"Campbell Lodging, Inc.",          ,,,,Hilton Garden Inn,4090 Belt Line Rd,Addison,TX,75001,US,New Category
"Addison Food And Beverage Hgi, Llc",(415) 298-7674,,,,"Addison Food And Beverage Hgi, Llc",4090 Belt Line Rd,Addison,TX,75001,US,New Category
"Equinox Hotel Addison Hgi, Llc",(415) 668-6887,,,,"Equinox Hotel Addison Hgi, Llc",4090 Belt Line Rd,Addison,TX,75001,US,New Category
"S&A Beverages Of Addison, Llc",(415) 298-7674,,,,Hilton Garden Inn - Addison,4090 Belt Line Rd,Addison,TX,75001,US,New Category
"Raising Canes Restaurants, Llc",          ,,,,Raising Cane'S #98,4100 Belt Line Rd,Addison,TX,75001,US,New Category
Ganesha Restaurants And Foods (Us) Inc.,(972) 789-9206,,,,Ganesha Restaurants And Foods (Us) Inc.,4101 Belt Line Rd,Addison,TX,75001,US,New Category
"Ganesha Beverages, Llc",(817) 751-8806,,,,Flavors Authentic Indian Cuisine,4101 Belt Line Rd,Addison,TX,75001,US,New Category
"Visimark Technologies, Inc.",          ,,,,"Visimark Technologies, Inc.",4103 Pokolodi Cir,Addison,TX,75001,US,New Category
Tm Best Thai Inc,          ,,,,Best Thai,4135 Belt Line Rd,Addison,TX,75001,US,New Category
Teatreat Corporation,(972) 335-3353,,,,Boba Tea & Treats,4135 Belt Line Rd,Addison,TX,75001,US,New Category
"Cgi Ww Addison, Llc",          ,,,,Which Wich ?,4135 Belt Line Rd,Addison,TX,75001,US,New Category
"T & M Burgers, Inc.",          ,,,,Jc'S Burger House,4135 Belt Line Rd Ste 100,Addison,TX,75001,US,New Category
"Addison Catering Company, Inc.",          ,,,,Dallas Addison Catering,4141 Billy Mitchell Dr,Addison,TX,75001,US,New Category
"Sage Dining Services, Inc.",          ,,,,Greenhill School,4141 Spring Valley Rd,Addison,TX,75001,US,New Category
"Justasportsbar, Inc.",(972) 385-3558,,,,The Hub Club,4145 Belt Line Rd Ste 200,Addison,TX,75001,US,New Category
"Andiamo, Inc.",          ,,,,Andiamo,4151 Belt Line Rd,Addison,TX,75244,US,New Category
Kenneth Pete Nolasco,          ,,,,Chef Pete,4151 Belt Line Rd Ste 126,Addison,TX,75001,US,New Category
"Wps Cy Dallas Addison, Llc",(972) 490-7390,,,,"Wps Cy Dallas Addison, Llc",4165 Proton Dr,Addison,TX,75001,US,New Category
"Hospitality International, Inc.",(972) 490-7390,,,,Hospitality International Inc,4165 Proton Dr,Addison,TX,75244,US,New Category
"Chalak Investment Group, Lp",(972) 503-5426,,,,Genghis Grill -The Mongolian Feast -Addison,4201 Belt Line Rd # 1,Addison,TX,75001,US,New Category
Darden Sw Llc,          ,,,,Olive Garden #1385,4240 Belt Line Rd,Addison,TX,75001,US,New Category
Fogo De Chao Churrascaria (Dallas) Llc,(972) 503-7300,,,,Fogo De Chao,4300 Belt Line Rd,Addison,TX,75001,US,New Category
"Just For Jets Catering - Texas, Llc",(972) 735-9537,,,,"Just For Jets Catering - Texas, Llc",4300 Westgrove Dr,Addison,TX,75001,US,New Category
"Denny'S, Inc.",          ,,,,Denny'S Inc. # 2148,4301 Belt Line Rd,Addison,TX,75001,US,New Category
G6 Hospitality Property Llc,(972) 386-4577,,,,Motel 6 #1125,4325 Belt Line Rd,Addison,TX,75001,US,New Category
"Tokyo One America, Inc.",(972) 386-8899,,,,Tokyo One Japanese Restaurant,4350 Belt Line Rd,Addison,TX,75001,US,New Category
"Tokyo One, Inc.",          ,,,,Tokyo Cafe,4350 Beltline Road,Addison,TX,75244,US,New Category
Bawarchi Signature Llc,          ,,,,Bawarchi Signature,4460 Belt Line Rd,Addison,TX,75001,US,New Category
"Brinker Texas, Inc.",          ,,,,Chili'S Grill & Bar #0002,4500 Belt Line Rd,Addison,TX,75001,US,New Category
"W2007 Equity Inns Realty, Lp",          ,,,,Hampton Inn Addison - # 6131,4505 Beltway Dr,Addison,TX,75001,US,New Category
Mac Acquisition Llc,(972) 386-3831,,,,Romano'S Macaroni Grill,4535 Belt Line Rd,Addison,TX,75001,US,New Category
"El Chico License, Inc.",          ,,,,Cantina Laredo #451,4546 Belt Line Rd,Addison,TX,75001,US,New Category
"El Chico Restaurants Of Texas, L.P.",(214) 458-0962,,,,Cantina Laredo #451,4546 Belt Line Rd,Addison,TX,75244,US,New Category
"Lalnat Hospitality, Inc.",          ,,,,Comfort Suites,4555 Belt Line Rd,Addison,TX,75001,US,New Category
"Kfc U.S. Properties, Inc.",          ,,,,Kfc,4570 Westgrove Dr Ste 170,Addison,TX,75001,US,New Category
"Kuhn Entertainment, Inc.",(972) 381-1272,,,,The Addison Point Bar & Grill,4578 Belt Line Rd,Addison,TX,75001,US,New Category
"D & Z Beverage, Llc",(214) 370-2475,,,,Addison Point,4578 Belt Line Rd,Addison,TX,75001,US,New Category
"Remington Seafood, Inc.",          ,,,,Oyster'S,4580 Belt Line Rd,Addison,TX,75001,US,New Category
"Twin Restaurant Western Center Beverage Holding, L",(972) 212-6871,,,,"Twin Restaurant Western Center Beverage Holding, L",4803 Broadway St,Addison,TX,75001,US,New Category
Mr. Sushi Dallas Inc.,          ,,,,Mr. Sushi,4860 Belt Line Rd,Addison,TX,75001,US,New Category
"La Salsa Restaurant, Inc.",          ,,,,Zuzu Handmade Mexican Food,4866 Belt Line Rd,Addison,TX,75240,US,New Category
"Mawer Beverage, Llc",          ,,,,Stadium Cafe,4872 Beltline Rd,Addison,TX,75204,US,New Category
Island Hospitality Management Inc.,(972) 661-3113,,,,Summerfield Suites Addison,4900 Edwin Lewis Dr,Addison,TX,75001,US,New Category
"Ruthie'S Rolling Cafe, L.L.C.",(972) 380-4233,,,,"Ruthie'S Rolling Cafe, L.L.C.",4901 Keller Springs Rd Ste 102,Addison,TX,75001,US,New Category
"Chicago Pizza & Brewery, L.P.",(713) 861-4173,,,,Bj'S Restaurant & Brewhouse,4939 Belt Line Rd,Addison,TX,75001,US,New Category
"Chicago Pizza Hospitality Holding, Inc.",          ,,,,Bj'S Restaurant & Brewery,4939 Belt Line Road,Addison,TX,75001,US,New Category
"Potbelly Sandwich Works, Llc",          ,,,,Potbelly Sandwich Works Llc,4945 Beltline Rd,Addison,TX,75001,US,New Category
"Bdknr Hospitality, L.P.",          ,,,,Holiday Inn,4960 Arapaho Rd,Addison,TX,75001,US,New Category
"Laughs Galore, Inc.",          ,,,,The Improvisation The Impov,4980 Beltline Road Suite 250,Addison,TX,75240,US,New Category
"Luciano Cola Enterprises, Inc.",          ,,,,Antonio Ristorante,4985 Addison Cir,Addison,TX,75248,US,New Category
"Hml, Inc.",          ,,,,Kampai Sushi & Grill,4995 Addison Cir,Addison,TX,75001,US,New Category
"Tavistock Freebirds, Llc",(972) 788-1828,,,,Freebirds World Burrito,5000 Belt Line Rd Ste 350,Addison,TX,75001,US,New Category
Starbucks Corporation,          ,,,,Starbucks Coffee # 6230,5000 Belt Line Rd Ste 450,Addison,TX,75001,US,New Category
"Watanabe, Inc.",          ,,,,Kobe Steaks,5000 Belt Line Rd Ste 600,Addison,TX,75240,US,New Category
"Kobe Steaks Of Texas, Inc.",          ,,,,Kobe Steaks,5000 Belt Line Rd Ste 600,Addison,TX,75240,US,New Category
"Freebirds Beverage, Llc",          ,,,,Freebirds World Burrito,5000 Belt Line Rd Suite 350,Addison,TX,75001,US,New Category
"Deli Management, Inc.",(972) 239-0074,,,,Jason'S Deli - Add2,5000 Beltline Rd Ste 800,Addison,TX,75234,US,New Category
"The Lion And The Crown, Inc.",          ,,,,The Lion And Crown,5001 Addison Cir,Addison,TX,75001,US,New Category
"Hasslocher Enterprises, Inc.",          ,,,,Magic Time Machine-Addison School,5003 Belt Line Rd,Addison,TX,75240,US,New Category
"Kahlo Restaurante & Cantina, Llc",          ,,,,Kahlo Restaurante & Cantina,5004 Addison Cir,Addison,TX,75001,US,New Category
"Pastazios Pizza, Inc.",          ,,,,Pastazios Pizza,5026 Addison Circle,Addison,TX,75001,US,New Category
"Extreme, Inc",          ,,,,Sidewalk Cafe,5030 Addison Cir,Addison,TX,75001,US,New Category
Liberty Deli Llc,          ,,,,Liberty Plaza Cafe,5057 Keller Springs Rd Ste 120,Addison,TX,75001,US,New Category
"Triple Systems, Llc",(214) 533-7937,,,,Triple Star Catering,5057 Keller Springs Rd Ste 300,Addison,TX,75001,US,New Category
"Barfly Syndicate, Inc.",(972) 233-9362,,,,The Mucky Duck,5064 Addison Cir,Addison,TX,75001,US,New Category
"Sodexomagic, Llc",          ,,,,Concentra Addison #4515,5080 Spectrum Dr,Addison,TX,75001,US,New Category
Chaucer'S Inc.,(940) 321-1133,,,,Chaucer'S Sushi & Grill,5080 Spectrum Dr # 111W,Addison,TX,75001,US,New Category
Napason Delis Of America Inc,(972) 392-2332,,,,Bay Street Deli Usa #2,5080 Spectrum Dr # 114E,Addison,TX,75001,US,New Category
"Mesa S.W. Restaurants-Dallas, Inc.",(214) 934-0165,,,,Blue Mesa Grill,5100 Belt Line Rd Ste 500,Addison,TX,75240,US,New Category
"Curry 'N' Hurry, L.L.C.",          ,,,,The Saffron House,5100 Beltline Rd Ste 728,Addison,TX,75240,US,New Category
"Jose Fuentes Addison, Inc.",          ,,,,Gloria'S Restaurant #4,5100 Beltline Road #852,Addison,TX,75248,US,New Category
"Sherlock'S Addison, Llc",          ,,,,Sherlock'S Baker St Public House & Grill,5100 Beltline Road Ste 776,Addison,TX,75240,US,New Category
