NAME,PHONE,FAX,EMAIL,WEBSITE,RESTAURANT NAME,RESTAURANT ADDRESS,RESTAURANT CITY,RESTAURANT STATE,RESTAURANT ZIPCODE,RESTAURANT COUNTRY,RESTAURANT CATEGORY
"Cen-Tex Subway, Inc.",(409) 823-3147,,,,Subway,100 N Main St,Bryan,TX,77803,US,New Category
Taylor Braedon Corp.,          ,,,,Must Be Heaven,100 S Main St,Bryan,TX,77803,US,New Category
J Concepcion Mendez,          ,,,,Raspas El Payasito,1005 S Coulter Dr,Bryan,TX,77803,US,New Category
"Harvest Java Bar #001, Llc",(480) 789-2159,,,,"Harvest Java Bar #001, Llc",101 N Main St,Bryan,TX,77803,US,New Category
The Hispanic Forum Of Bryan-College Station,          ,,,,Hispanic Forum Of Bryan College Station,101 W 22Nd St,Bryan,TX,77803,US,New Category
"C&J Barbeque Market, Inc.",(979) 776-4817,,,,C&J Barbeque 2,1010A S Texas Ave,Bryan,TX,77803,US,New Category
Cari I Rice,          ,,,,Rockies,1016 S Texas Ave,Bryan,TX,77803,US,New Category
Keith D Mcdaniel,          ,,,,Kelumac Bed & Breakfast,10379 Taylor Rd,Bryan,TX,77808,US,New Category
Emiliano Ramos,          ,,,,Taqueria Laregiomontana,10401 Kurten Cemetery Rd,Bryan,TX,77808,US,New Category
"Patranella'S Bakery And Cafe, Llc",(979) 775-7751,,,,"Patranella'S Bakery And Cafe, Llc",106 N Parker Ave,Bryan,TX,77803,US,New Category
Roger T Sauseda And John Carlos Toledo,          ,,,,Good Times,106 W 23Rd St,Bryan,TX,77803,US,New Category
Luke Ruffino,(979) 229-3555,,,,Lukes Bartending Service,108 S Brewer Dr,Bryan,TX,77802,US,New Category
The Proudest Monkey Inc.,          ,,,,The Proudest Monkey,108 S Main St,Bryan,TX,77803,US,New Category
Lisa Cobb,(979) 218-2561,,,,Spring Creek Ranch Bed & Breakfast,10800 Spring Creek Ranch Rd,Bryan,TX,77807,US,New Category
"Murphy'S Law, Llc",          ,,,,Murphy'S Law Llc,109 N Main St,Bryan,TX,77803,US,New Category
Armando Herrera Gonzales,          ,,,,Taqueria Dos Laredos,1100 Turkey Creek Rd,Bryan,TX,77801,US,New Category
"Bryan Lodge No. 99 Home Association, Inc.",          ,,,,Bryan Lodge #99 Home Assoc Inc,1104 West William Joel Bryan Parkway,Bryan,TX,77803,US,New Category
Silvia Mireles,          ,,,,Silvia'S Roasted Corn,1109 Beck St,Bryan,TX,77803,US,New Category
Ramon Barajas,          ,,,,Taqueria La Perla,111 N Brazos Ave,Bryan,TX,77803,US,New Category
"Jj'S Snowcones, Llc",          ,,,,Jj'S Snowcones,1112 Briarcrest Dr,Bryan,TX,77802,US,New Category
Taylor Braedon Corp.,          ,,,,Must Be Heaven,1136 E Villa Maria Rd,Bryan,TX,77802,US,New Category
Juan Reyes Rodriguez,          ,,,,Amigos Mexican Deli,1138 Finfeather Rd,Bryan,TX,77803,US,New Category
"Bryan Commerce And Development, Incorporated",          ,,,,La Salle Hotel,120 Main St,Bryan,TX,77803,US,New Category
"Vineyard Spirits, Llc",(979) 822-2000,,,,Lasalle Hotel,120 S Main St,Bryan,TX,77803,US,New Category
"Magnolia Spirits Lasalle, Inc.",          ,,,,Lasalle Hotel,120 S Main St,Bryan,TX,77803,US,New Category
"Jeff Harmon Entertainment Group, Llc",(979) 823-6174,,,,Halo,121 N Main St,Bryan,TX,77803,US,New Category
J Concepcion Mendez,          ,,,,Taqueria Rio Verde,1210 Antone St,Bryan,TX,77803,US,New Category
Esteban Espinoza,          ,,,,Tacos Las Rosas,1225 W 27Th St,Bryan,TX,77803,US,New Category
Jose E Sanchez,(979) 422-8873,,,,El Taconazo Veloz Taqueria,1296 N Harvey Mitchell Pkwy,Bryan,TX,77803,US,New Category
Rudolfo Valadez,          ,,,,El Vale,1305 W Wm J Bryan Pkwy # 300,Bryan,TX,77803,US,New Category
Fernando Cruz,          ,,,,Cruz Rojos Restaurant,1305 W Wm J Bryan Pkwy Ste 500,Bryan,TX,77803,US,New Category
Veronica Dawn Tussey,          ,,,,Hawg Haven Saloon,1310 Sandy Point Rd,Bryan,TX,77803,US,New Category
Jose O Castillo,          ,,,,Little Joe'S Saloon,1310 Sandy Point Rd,Bryan,TX,77803,US,New Category
Margarita Ponce Castaneda,          ,,,,Maggie'S Taqueria,1311 S Texas Ave,Bryan,TX,77803,US,New Category
Nora Milagros Rosales,          ,,,,Canana'S Night Club,1313 S College Ave,Bryan,TX,77801,US,New Category
Carlos Ponce,          ,,,,Canana'S Nightclub,1313 S College Ave,Bryan,TX,77801,US,New Category
Jose Guadalupe Rios,          ,,,,Taqueria Rios,1314 San Jacinto Ln,Bryan,TX,77803,US,New Category
"Lmark Food Services, Inc.",(979) 779-8625,,,,Mi Pueblito Mexican Restaurant,1315 S College Ave,Bryan,TX,77801,US,New Category
Polly A Martinez,          ,,,,Mi Cocina Restaurant,1411 San Jacinto Ave,Bryan,TX,77803,US,New Category
Cheryl W Butler,          ,,,,Butler'S Soul Food,1416 Groesbeck St,Bryan,TX,77803,US,New Category
Jose Lara D Rodriguez,          ,,,,Taqueria La Abuelita,1418 Groesbeck St,Bryan,TX,77803,US,New Category
Yolanda Rena Nowlin,          ,,,,Club Nice,1501 W Wm J Bryan Pkwy,Bryan,TX,77803,US,New Category
"2818 Wings West, Inc.",(979) 779-7479,,,,Wings N More Express Drive Thru,1561 W Villa Maria Rd,Bryan,TX,77807,US,New Category
Ibarra'S Promotions Llc,(979) 778-4728,,,,Grahams Night Club,1600B S College Ave,Bryan,TX,77801,US,New Category
Juan M Cruz,          ,,,,Club El Tropicana,1601 Groesbeck St,Bryan,TX,77803,US,New Category
"Lavaston Foods, Llc",          ,,,,Papa John'S #4080,1601 N Texas Ave Ste 120,Bryan,TX,77803,US,New Category
"La Jerezana Food Services, Inc.",          ,,,,Coco Loco Sinaloense,1601 S Texas Ave,Bryan,TX,77802,US,New Category
Jesus Triana And Jose A Arredondo,          ,,,,La Carreta Mexican Grill,1605 San Jacinto Ln,Bryan,TX,77803,US,New Category
"Smith Dairy Queens, Ltd.",          ,,,,Dairy Queen #1,1609 I H 10 W,Bryan,TX,78155,US,New Category
"Bryan'S Ocean Buffet, Inc.",(580) 747-3183,,,,"Bryan'S Ocean Buffet, Inc.",1701 S Texas Ave,Bryan,TX,77802,US,New Category
Holy Smoke Bbq And Catering,          ,,,,Holy Smoke Bbq And Catering,1704 Gray Stone Dr,Bryan,TX,77807,US,New Category
Larry Wayne Eimann,          ,,,,Chap'S Place,1711 Highway 21 W,Bryan,TX,77803,US,New Category
Alireza Ghavami,          ,,,,Bryan Fat Burger,1801 S Texas Ave,Bryan,TX,77802,US,New Category
Markey Ford Beilue,          ,,,,Brazos City Grill,1805 Briarcrest Dr,Bryan,TX,77802,US,New Category
Taqueria Arandas No. 16 Inc.,          ,,,,Taqueria Arandas #16,1816 S Texas Ave,Bryan,TX,77802,US,New Category
"Boonville Road Hotel, Lp",          ,,,,Best Western Atrea At Old Town Center,1920 Austins Colony Pkwy,Bryan,TX,77802,US,New Category
"Papa Perez Mexican Cuisine, Inc.",          ,,,,"Papa Perez Mexican Cuisine, Inc.",200 S Main St,Bryan,TX,77803,US,New Category
Martha Alicia Sanchez,          ,,,,Elotes Cristo Rey,2001 Highway 21 E,Bryan,TX,77803,US,New Category
"Nothing-Comes-Easy, Llc",          ,,,,Cici'S Pizza,2003 S Texas Ave,Bryan,TX,77802,US,New Category
"Mardan, Inc.",          ,,,,Sikorski'S Place,2004 Highway 21 W,Bryan,TX,77803,US,New Category
"M. W. W. & Co., Inc.",          ,,,,Ptarmigan Club,2005 S College Ave,Bryan,TX,77801,US,New Category
"Longhorn Tavern Steakhouse, Inc.",          ,,,,Longhorn Tavern Steakhouse,201 E 24Th St,Bryan,TX,77803,US,New Category
"Whatta Food & Beverage Company, Inc.",(409) 696-7562,,,,Mr G'S Trattoria,201 W 26Th St 'A',Bryan,TX,77803,US,New Category
Joanne Kozik,          ,,,,Kozi Kitchen,2010 S College Ave,Bryan,TX,77801,US,New Category
"The Feed Barn, Llc",(979) 822-9488,,,,The Feed Barn Llc,2017 Fountain Ave,Bryan,TX,77801,US,New Category
"Peter And Tara, Inc.",          ,,,,Madden'S Casual Gourmet,202 S Bryan Ave,Bryan,TX,77803,US,New Category
"Amico Nave, Lp",(979) 676-0300,,,,Amico Nave Ristorante,203 E Villa Maria Rd,Bryan,TX,77801,US,New Category
Francisco V Vargas,          ,,,,Mi Illusion,204 W 16Th St,Bryan,TX,77803,US,New Category
"Smith Dairy Queens, Ltd.",          ,,,,Dairy Queen #2,205 N Texas Ave,Bryan,TX,77803,US,New Category
Gloria I Baldridge,          ,,,,Fire & Ice,2054 E 29Th St,Bryan,TX,77802,US,New Category
"Shipwreck Grill, Lp",(713) 515-2223,,,,"Shipwreck Grill, Llc",206 E Villa Maria Rd,Bryan,TX,77801,US,New Category
"Downtown Uncorked, Llc",          ,,,,Downtown Uncorked,206 W 26Th St,Bryan,TX,77803,US,New Category
Darrell E Marek,          ,,,,Live Crawfish College Station,2060 Gopher Ln,Bryan,TX,77808,US,New Category
Octavia Torres,          ,,,,La Pasadita,207 Kosarek St,Bryan,TX,77803,US,New Category
Gladys M Pineta Castro,          ,,,,El Grano De Oro #1,210 San Jacinto Ln,Bryan,TX,77803,US,New Category
"La Espiga Dorada Bakery, Inc",          ,,,,La Espiga Dorada Bakery,210 W Martin Luther King Jr St,Bryan,TX,77803,US,New Category
"Evergreen Interest, Ltd.",          ,,,,Shipley Donuts,210 W Villa Maria,Bryan,TX,77802,US,New Category
Rola Cerone,(979) 289-4044,,,,Revolution,211B S Main St,Bryan,TX,77803,US,New Category
Rogelio Nieto Cruz,          ,,,,El Nopalito,216 W Martin Luther King Jr St,Bryan,TX,77803,US,New Category
Earl A Wurzbach,          ,,,,Mcdonald'S #13249,2200 Briarcrest Dr,Bryan,TX,77802,US,New Category
Elida Reyes,          ,,,,Ely'S Yaqueria,2208 Finfeather Rd,Bryan,TX,77801,US,New Category
Craig Hall,          ,,,,Chic-Fil-A At Bryan,2210 Briarcrest Dr,Bryan,TX,77802,US,New Category
"Delicious Mexican Restaurant, Llc",          ,,,,La Botana Mexican Restaurant,2210 E Wm J Bryan Pkwy,Bryan,TX,77802,US,New Category
"Mac Pizza Management, Inc.",          ,,,,Domino'S Pizza #29,2211 E William J Bryan Pkwy,Bryan,TX,77802,US,New Category
Renae Morales,          ,,,,The Skin City Dancers,2216B Young Pl,Bryan,TX,77807,US,New Category
"Rami'S Entertainment Group, Inc.",(409) 696-7562,,,,Cafe Capri,222 N Main St,Bryan,TX,77803,US,New Category
"Trapani'S Little Caesars, Inc.",          ,,,,Little Caesars,2290 Boonville Rd Ste 900,Bryan,TX,77808,US,New Category
"Spoons Yogurt Of Bryan, Llc",(512) 535-4883,,,,"Spoons Yogurt Of Bryan, Llc",2305 Boonville Rd Ste 100,Bryan,TX,77808,US,New Category
Xiao Bo Inc,(832) 860-1886,,,,T Jin China Diner # 2,2305 Boonville Rd Ste 650,Bryan,TX,77808,US,New Category
"Cen-Tex Subway, Inc.",          ,,,,Subway,2305 Boonville Rd Ste 750,Bryan,TX,77808,US,New Category
"Ddbv, Ltd.",          ,,,,Doubledave'S Pizzaworks,2305 Boonville Rd Ste 900,Bryan,TX,77808,US,New Category
K.C. Crawfish Llc,(979) 219-0135,,,,K.C. Crawfish Llc,2311 S Pioneer Trl,Bryan,TX,77808,US,New Category
