NAME,PHONE,FAX,EMAIL,WEBSITE,RESTAURANT NAME,RESTAURANT ADDRESS,RESTAURANT CITY,RESTAURANT STATE,RESTAURANT ZIPCODE,RESTAURANT COUNTRY,RESTAURANT CATEGORY
"Swh Mimi'S Cafi, Llc",          ,,,,Mimi'S Café,17315 W Ih 10,San Antonio,TX,78257,US,New Category
St. Mary'S University Alumni Association,(210) 436-3324,,,,St Mary'S University Alumni Association,1 Camino Santa Maria St,San Antonio,TX,78228,US,New Category
"Wnif Ventures, Llc",          ,,,,Papa John'S,100 N Santa Rosa St Ste 126,San Antonio,TX,78207,US,New Category
"Pizza Venture Of San Antonio, L.L.C.",          ,,,,Papa John'S Pizza #4132,100 N Santa Rosa St Ste 126,San Antonio,TX,78207,US,New Category
"B & L Burgers Ii, Llc",(210) 223-2480,,,,Big Bob'S Burgers Ii,100 N Santa Rosa St Ste 140,San Antonio,TX,78207,US,New Category
Bon Appetit Management Company,          ,,,,Bon Appetit #25432 Kohl'S San Antonio,10000 Rogers Run,San Antonio,TX,78251,US,New Category
"Myron'S Prime Time, Inc.",(210) 862-0005,,,,Myron'S At Alon Town Center,10003 Nw Military Hwy Ste 2101,San Antonio,TX,78231,US,New Category
"Naples Pizza Southwest Ii, Inc.",(210) 887-5842,,,,Franco'S Italian Restaurant & Lounge,10003 Nw Military Hwy Ste 2107,San Antonio,TX,78231,US,New Category
Terlochan Singh,          ,,,,Church'S Chicken #1572,1001 Rittiman Rd,San Antonio,TX,78218,US,New Category
Alma Adoracion Moreno,          ,,,,Emiliano'S Mexican Restaurant,1002 Bandera Rd,San Antonio,TX,78228,US,New Category
"Marquezon Restaurants, Inc.",(210) 924-0478,,,,Mary Lou'S Cafe,1002 Pleasanton Rd,San Antonio,TX,78214,US,New Category
"Ct Restaurants, L.P.",          ,,,,Church'S Chicken #5,1003 Culebra Rd,San Antonio,TX,78201,US,New Category
"Ct Restaurants, L.P.",          ,,,,Church'S Chicken #3404,1003 Se Military Dr,San Antonio,TX,78214,US,New Category
Ana Maria Corona,          ,,,,Ana'S Snack Shack,1005 Pleasanton Rd,San Antonio,TX,78214,US,New Category
Joann Rivera,          ,,,,Victoria'S Black Swan Inn,1006 Holbrook Rd,San Antonio,TX,78218,US,New Category
"Chester'S Hamburger Co., Ltd.",          ,,,,Chester'S Hamburgers,1006 Ne Loop 410,San Antonio,TX,78209,US,New Category
Mcdonald'S General Mcmullen Corp.,          ,,,,Mcdonald'S #5395,101 Alamo Plz,San Antonio,TX,78205,US,New Category
"Bill Miller Bar-B-Q Enterprises, Ltd.",          ,,,,Bill Miller'S Bar-B-Q,101 W Commerce St,San Antonio,TX,78205,US,New Category
"Pj'S Cafe And Catering, Llc",(210) 323-6600,,,,"Pj'S Cafe And Catering, Llc",10100 Reunion Pl Ste 140,San Antonio,TX,78216,US,New Category
"Don'T Tell Mama, Llc",(210) 391-6668,,,,"Don'T Tell Mama, Llc",10103 Huebner Rd,San Antonio,TX,78240,US,New Category
Imelda C Tovar & Diego Hernandez,          ,,,,Tacos D'Imelda,10103 Inridge,San Antonio,TX,78250,US,New Category
Jose L Cruz,          ,,,,Pancake Joe'S,1011 Donaldson Ave,San Antonio,TX,78228,US,New Category
Concha Banda,(210) 533-5222,,,,Connie'S Ice House,1011 E White,San Antonio,TX,78223,US,New Category
